index,paths,label,bbox,width,height,dataset
2021,kaggle_datasets/liveness-detection-zalo-2022/train/frames/1269.mp4/output_0004.jpg,1,"[{'id': 0, 'bbox': (171, 322, 159, 159), 'score': [0.7267095446586609], 'center': (250, 401)}]",368,656,liveness-detection-zalo-2022
1792,kaggle_datasets/lcc-fasd/LCC_FASD/spoof_trn/spoof_2966.png,0,"[{'id': 0, 'bbox': (104, 135, 405, 405), 'score': [0.8515146374702454], 'center': (306, 337)}]",594,594,LCC_FASD
2765,kaggle_datasets/liveness-detection-zalo-2022/train/frames/623.mp4/output_0005.jpg,1,"[{'id': 0, 'bbox': (-152, 659, 985, 985), 'score': [0.5971472263336182], 'center': (340, 1151)}]",1080,1920,liveness-detection-zalo-2022
2017,kaggle_datasets/real-vs-fake-anti-spoofing-video-classification/train/real_video/frames/36.mp4/output_0012.jpg,1,"[{'id': 0, 'bbox': (146, 579, 541, 541), 'score': [0.9509448409080505], 'center': (416, 849)}]",864,1920,liveness-detection-zalo-2022
210,kaggle_datasets/real-vs-fake-anti-spoofing-video-classification/train/attack/frames/15.mp4/output_0010.jpg,0,"[{'id': 0, 'bbox': (71, 171, 203, 203), 'score': [0.9394187927246094], 'center': (172, 272)}]",360,480,liveness-detection-zalo-2022
605,kaggle_datasets/liveness-detection-zalo-2022/train/frames/842.mp4/output_0004.jpg,1,"[{'id': 0, 'bbox': (353, 1297, 649, 649), 'score': [0.8431776762008667], 'center': (677, 1621)}]",2160,3840,liveness-detection-zalo-2022
845,kaggle_datasets/lcc-fasd/LCC_FASD/real_trn/YOUTUBE_id77_s0_136.png,1,"[{'id': 0, 'bbox': (137, 112, 253, 253), 'score': [0.8067485094070435], 'center': (263, 238)}]",387,387,LCC_FASD
378,kaggle_datasets/lcc-fasd/LCC_FASD/spoof_trn/YOUTUBE_IIYAMAXU_IPHONE7F_id17_s0_120.png,0,"[{'id': 0, 'bbox': (95, 118, 324, 324), 'score': [0.9113250970840454], 'center': (257, 280)}]",479,479,LCC_FASD
1881,kaggle_datasets/liveness-detection-zalo-2022/train/frames/35.mp4/output_0001.jpg,1,"[{'id': 0, 'bbox': (111, 285, 358, 358), 'score': [0.8604366183280945], 'center': (290, 464)}]",480,852,liveness-detection-zalo-2022
2054,kaggle_datasets/liveness-detection-zalo-2022/train/frames/405.mp4/output_0001.jpg,0,"[{'id': 0, 'bbox': (140, 343, 304, 304), 'score': [0.7274156212806702], 'center': (292, 495)}]",480,852,liveness-detection-zalo-2022
549,kaggle_datasets/liveness-detection-zalo-2022/train/frames/824.mp4/output_0004.jpg,1,"[{'id': 0, 'bbox': (408, 538, 374, 374), 'score': [0.8792431354522705], 'center': (595, 725)}]",1080,1920,liveness-detection-zalo-2022
2113,kaggle_datasets/liveness-detection-zalo-2022/train/frames/422.mp4/output_0005.jpg,1,"[{'id': 0, 'bbox': (65, 276, 268, 268), 'score': [0.8603518605232239], 'center': (199, 410)}]",384,852,liveness-detection-zalo-2022
2084,kaggle_datasets/real-vs-fake-anti-spoofing-video-classification/train/real_video/frames/4.mp4/output_0004.jpg,1,"[{'id': 0, 'bbox': (377, 740, 436, 436), 'score': [0.9123228788375854], 'center': (595, 958)}]",1440,1440,liveness-detection-zalo-2022
1136,kaggle_datasets/lcc-fasd/LCC_FASD/spoof_trn/YOUTUBE_IIYAMAXU_SMJ710FN_id19_s0_46.png,0,"[{'id': 0, 'bbox': (161, 151, 432, 432), 'score': [0.8813542127609253], 'center': (377, 367)}]",617,617,LCC_FASD
604,kaggle_datasets/lcc-fasd/LCC_FASD/spoof_trn/spoof_3718.png,0,"[{'id': 0, 'bbox': (139, 185, 427, 427), 'score': [0.9281746745109558], 'center': (352, 398)}]",652,652,LCC_FASD
799,kaggle_datasets/real-vs-fake-anti-spoofing-video-classification/train/attack/frames/38.mp4/output_0013.jpg,0,"[{'id': 0, 'bbox': (60, 263, 164, 164), 'score': [0.8589059710502625], 'center': (142, 345)}]",360,480,liveness-detection-zalo-2022
2095,kaggle_datasets/lcc-fasd/LCC_FASD/spoof_trn/FT720P_MBP1314_IPHONE8F_id8_s0_90.png,0,"[{'id': 0, 'bbox': (36, 75, 269, 268), 'score': [0.9121115803718567], 'center': (170, 209)}]",332,332,LCC_FASD
1234,kaggle_datasets/liveness-detection-zalo-2022/train/frames/1857.mp4/output_0004.jpg,1,"[{'id': 0, 'bbox': (100, 249, 296, 296), 'score': [0.8776524066925049], 'center': (248, 397)}]",480,852,liveness-detection-zalo-2022
910,kaggle_datasets/lcc-fasd/LCC_FASD/spoof_trn/spoof_6723.png,0,"[{'id': 0, 'bbox': (28, 63, 171, 170), 'score': [0.9235561490058899], 'center': (113, 148)}]",248,248,LCC_FASD
1470,kaggle_datasets/liveness-detection-zalo-2022/train/frames/110.mp4/output_0003.jpg,1,"[{'id': 0, 'bbox': (146, 532, 464, 464), 'score': [0.8102688193321228], 'center': (378, 764)}]",720,1280,liveness-detection-zalo-2022
1300,kaggle_datasets/liveness-detection-zalo-2022/train/frames/1876.mp4/output_0003.jpg,1,"[{'id': 0, 'bbox': (195, 642, 306, 306), 'score': [0.6237834095954895], 'center': (348, 795)}]",720,1280,liveness-detection-zalo-2022
546,kaggle_datasets/lcc-fasd/LCC_FASD/spoof_trn/spoof_3664.png,0,"[{'id': 0, 'bbox': (74, 72, 217, 217), 'score': [0.8614761233329773], 'center': (182, 180)}]",316,316,LCC_FASD
2672,kaggle_datasets/lcc-fasd/LCC_FASD/spoof_trn/spoof_7422.png,0,"[{'id': 0, 'bbox': (87, 95, 228, 228), 'score': [0.864444375038147], 'center': (201, 209)}]",388,388,LCC_FASD
583,kaggle_datasets/replay-attack-mobile-dataset-ibeta-1/frames/20241126_030652.mp4/output_0003.jpg,0,"[{'id': 0, 'bbox': (54, 1354, 2048, 2048), 'score': [0.932604968547821], 'center': (1078, 2378)}]",2160,3840,replay-attack-mobile-dataset-ibeta-1
1170,kaggle_datasets/liveness-detection-zalo-2022/train/frames/1018.mp4/output_0004.jpg,1,"[{'id': 0, 'bbox': (345, 347, 529, 529), 'score': [0.8711598515510559], 'center': (609, 611)}]",1080,1920,liveness-detection-zalo-2022
2305,kaggle_datasets/liveness-detection-zalo-2022/train/frames/1354.mp4/output_0004.jpg,0,"[{'id': 0, 'bbox': (31, 358, 370, 370), 'score': [0.7910416126251221], 'center': (216, 543)}]",480,852,liveness-detection-zalo-2022
579,kaggle_datasets/lcc-fasd/LCC_FASD/real_trn/YOUTUBE_id50_s0_63.png,1,"[{'id': 0, 'bbox': (173, 182, 488, 488), 'score': [0.93001788854599], 'center': (417, 426)}]",811,811,LCC_FASD
2237,kaggle_datasets/real-vs-fake-anti-spoofing-video-classification/train/real_video/frames/46.mp4/output_0027.jpg,1,"[{'id': 0, 'bbox': (82, 713, 723, 723), 'score': [0.991115927696228], 'center': (443, 1074)}]",1080,1920,liveness-detection-zalo-2022
229,kaggle_datasets/lcc-fasd/LCC_FASD/spoof_trn/spoof_5194.png,0,"[{'id': 0, 'bbox': (47, 95, 269, 269), 'score': [0.780877947807312], 'center': (181, 229)}]",395,395,LCC_FASD
